"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Fireflies_edit.nlogo"
"sync_time"
"02/05/2024 16:34:19:720 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"349","18","5","786","787"
"347","18","5","1018","1019"
"348","18","5","998","999"
"350","18","5","1076","1077"
"356","19","2","1026","1027"
"357","19","2","1066","1067"
"351","19","1","2000","-1"
"358","19","2","990","991"
"353","19","1","1584","1585"
"352","19","1","1697","1698"
"355","19","1","1677","1678"
"354","19","1","1717","1718"
"362","19","3","684","685"
"361","19","3","871","872"
"364","19","3","683","684"
"359","19","2","819","820"
"360","19","2","876","877"
"363","19","3","797","798"
"365","19","3","758","759"
"368","19","4","813","814"
"366","19","4","944","945"
"369","19","4","831","832"
"370","19","4","832","833"
"367","19","4","907","908"
"372","19","5","905","906"
"373","19","5","1184","1185"
"371","19","5","1224","1225"
"374","19","5","1002","1003"
"375","19","5","869","870"
"380","20","1","1067","1068"
"381","20","2","963","964"
"383","20","2","642","643"
"379","20","1","1465","1466"
"378","20","1","1646","1647"
"382","20","2","1335","1336"
"377","20","1","1848","1849"
"384","20","2","921","922"
"376","20","1","2000","-1"
"386","20","3","878","879"
"385","20","2","1103","1104"
"387","20","3","978","979"
"389","20","3","857","858"
"388","20","3","958","959"
"391","20","4","894","895"
"392","20","4","719","720"
"390","20","3","857","858"
"395","20","4","794","795"
"394","20","4","1111","1112"
"398","20","5","993","994"
"399","20","5","855","856"
"393","20","4","1272","1273"
"396","20","5","1210","1211"
"397","20","5","990","991"
"400","20","5","1070","1071"
